書名,作者,出版社,出版日期,ISBN/EAN,product_id
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),查理．蒙格,,2024-04-30,9786267366882,10012172932682559368008
"勇敢告別的人, 生活會獎勵一場新的開始",Peter Su,,2025-11-30,9786269256778,10012030392683039753000
請解開故事謎底 5 (2026珍愛特裝組),花於景 (雷雷夥伴),,2026-02-11,4711099774371,10012084862683085270001
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),黃山料,,2025-12-01,4711528700902,10012014082683030028008
學校不會教的人生課: 怡慧老師的實踐成長學 (誠品獨家書衣親簽版),宋怡慧,,2026-03-02,1000007859075,10012020052683094668004
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)",Hackers Academia,,2024-07-04,9789864543687,10012016082682596274003
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法",尼克．馬朱利,,2023-05-30,9786267252710,1001247312682383434009
我可能錯了: 森林智者的最後一堂人生課,比約恩．納提科．林德布勞/ 卡洛琳．班克勒/ 納維德．莫迪里,,2023-02-01,9789861344454,1001124182682324108006
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,,2026-01-30,9786264177443,10012030542683076169000
金剛經白話講座: 放下的人生修行,王思迅,,2025-07-28,9786267752111,10012117772682949728009
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術",內藤誼人,,2018-04-11,9789869617550,1001183572666954
喔! 原來我們都痛裡學會了愛,陳薇,,2026-02-06,9786269256792,10012030392683078702007
臺灣歷史圖說,周婉窈,,2025-10-02,9789570878059,10012010042683011783001
請解開故事謎底 5,花於景,,2026-02-04,9786267542408,10012046692683085141004
把日子慢慢變好,黃山料,,2024-11-01,9786263585003,10012014082682657441009
特殊傳說 III 11 (2026珍愛特裝組),護玄,,2026-02-11,4711099774364,10012084862683085265007
"富爸爸, 窮爸爸 (25週年紀念版)",羅勃特．T．清崎,,2022-09-14,9789865064679,1001123032682251788005
葬送的芙莉蓮 15,山田鐘人/ 原作; 阿部司,,2026-01-29,9786260267278,10012150962683070415004
被討厭的勇氣: 自我啟發之父阿德勒的教導,岸見一郎/ 古賀史健,,2014-10-30,9789861371955,1001136022367152
底層邏輯: 看清這個世界的底牌,劉潤,,2022-03-29,9786263350717,1001110932682144182002
國插週報大全 全五冊終極盒裝套書: 家事×職場×生活×怪事×感情 (典藏版/超值贈我真的要興奮死了鑰匙圈+國插週報紀念報紙/5冊合售),Cherng,,2026-02-03,4711441074364,10012010632683078556006
"世界上最神奇的24堂課: 全世界唯一一本, 因為揭露致富秘訣而被查禁的書!",查爾斯．哈奈爾,,2023-06-29,9789863924937,10012016082682399394007
"財富自由心理學: 療癒金錢焦慮, 修練致富心態 (附限量三步驟財富自由實戰計畫)",蔡宇哲/ 郝旭烈,,2026-01-27,4711488874002,10012030542683079404009
"主角模式: 從我得這樣到我可以選擇, 影響7500萬人的成長祕密",樊登,,2026-01-08,9786267549438,10012011762683051712009
長期買進: 財金教授周冠男的42堂自制力投資課,周冠男,,2024-07-31,9786263558434,10012030542682614097003
薰香花朵凛然綻放 16 (首刷限定版),三香見SAKA,,2026-03-02,9786260268589,10012150962683087740007
張忠謀自傳全集 上下冊 (2冊合售),張忠謀,,2024-11-29,4713510944905,10012030542682732135007
SAKAMOTO DAYS坂本日常 23 (首刷限定版),鈴木祐斗,,2026-02-12,9786260264000,10012150962683074437002
絕叫: 日本推理四大獎、現象級小說經典復活!,葉真中顯,,2025-12-01,9789861339986,10012036172683041432009
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)",Hackers Academia,,2024-07-04,9789864543632,10012016082682595339000
"讓上司挺你、朋友懂你, 跟誰都能聊不停的回話技術: 談判、責罵、提案、請託, 40個讓人欲罷不能、拍手叫好的臨場說話術",福田健,,2014-10-23,9789865683177,1001251382367480
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),摩根．豪瑟,,2026-02-03,9786264177917,10012030542683083746003
財商: 不費力才會贏 (作者親簽版),吳淡如,,2026-01-20,4711441074340,10012010632683071138001
十月堂舊書事 2,兒島青,,2026-02-04,9786264359238,10012011762683064047006
簡明台灣人四百年史 (圖文精華版),史明,,2017-11-01,9789578018273,1001116222632167
非暴力溝通: 愛的語言 (全新修訂版),馬歇爾．盧森堡,,2024-07-16,9789575469078,1001111072787487
日本語GOGOGO 1 (增訂版),財團法人語言訓練測驗中心,,2021-09-29,9789860612684,1001129492682062072003
惡靈剋星 5 (首刷限定版),新翔子,,2026-01-15,9786260259983,10012150962683048461002
地。關於地球的運動 1-8 (豪華盒裝版/8冊合售),魚豊,,2026-07-15,9786264349123,10012116312683082645000
人際關係的思維槓桿: 打造深刻連結的26個支點,王宏嘉 (米克)/ 陳卓凡 (麥可),,2026-01-30,9786264177368,10012030542683079398001
排球少年!! REMIX版 2 (首刷附錄版),古舘春一,,2026-01-30,9786260260057,10012150962683070405005
進烤箱的好日子,李佳穎,,2024-07-01,9789869202176,10012030392682598702009
在小山和小山之間: 故事大爆炸年度首獎之作 (限量作者親簽版),李停,,2026-01-26,4711510765346,10012122082683075463000
"做自己的太陽, 去看你想看的星星和月亮",角子,,2025-12-01,9786269262441,10012020052683042320008
人間失格 (典藏版),太宰治,,2018-05-08,9789864892662,1001180772673998
職安一點通: 職業安全衛生管理乙級檢定完勝攻略 (2026版/2冊合售),蕭中剛/ 劉鈞傑/ 鄭技師/ 賴秋琴/ 徐英洲/ 江軍/ 葉日宏,,2026-02-11,9786264252553,10012011762683089019002
難以承受的悸動是戀愛嗎? 3 (首刷限定版),空華みあ,,2026-02-04,4714453010528,10012011762683068655009
"小鳥與理夢人: 本屋大賞作家小川糸全新挑戰, 猶如護身符般的感淚之作! (限量作者親簽版)",小川糸,,2026-02-02,4711510765469,10012122082683078266004
SPY X FAMILY間諜家家酒 16,遠藤達哉,,2026-02-12,9786260264031,10012150962683072483001
轉型正義之路: 島嶼的過去與未來 (2022年增訂版),周婉窈,,2022-12-12,9789862943359,1001119012682312080000
地縛少年花子君 25 (首刷限定版),あいだいろ,,2026-03-05,9786260266295,10012150962683082016008
惡靈剋星 2 (首刷限定版),新翔子,,2025-04-01,9786260244835,10012150962682854045000
傲慢與偏見 (200週年紀念版),珍．奧斯汀,,2015-09-08,9789865671655,1001180772448113
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",老楊的貓頭鷹,,2025-10-22,9786264023368,10012017642683016249007
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書 (附首刷熱血應援透卡組),曾文誠/ 陳祖安,,2026-01-29,4719025013303,10012010302683075187005
矛盾,梁貴子,,2026-01-05,9786264091886,10012122452683065209007
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",朱家泓,,2024-11-21,9786267549087,10012011762682664727004
"長女病: 我們不是天生愛扛責任, 台灣跨世代女兒的故事",張慧慈 (小花媽),,2025-04-01,9786269917488,10012012142682855570006
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",林熙 Brett Lindsay,,2024-03-01,9789861366838,10012036172682524841000
葬送的芙莉蓮公式漫迷手冊 (全),山田鐘人/ 原作; 阿部司,,2026-01-15,9786260237530,10012150962683055287008
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",許心瀠,,2020-12-10,9789869878494,1001271692681949005004
難以承受的悸動是戀愛嗎? 4,空華みあ,,2026-02-25,9786264373777,10012011762683079656002
活出你的本來面目: 獻給現代人的榮格心靈指南,鐘穎,,2025-11-01,9786263587854,10012014082683016621001
葬送的芙莉蓮 13,山田鐘人/ 原作; 阿部司,,2024-07-25,9786260216481,10012150962682602544007
特殊傳說 III 11,護玄,,2026-02-04,9786263842762,10012046692683084091003
重返世界盡頭的咖啡館: 我想要的人生是什麼?,約翰．史崔勒基,,2026-01-30,9786263588639,10012014082683075102008
惡靈剋星 4 (首刷限定版),新翔子,,2025-07-24,9786260249793,10012150962682922950007
日本語GOGOGO 1 練習帳 (增訂版),財團法人語言訓練測驗中心,,2022-03-30,9786269542109,1001129492682150083003
青春之箱 22 (首刷限定版),三浦糀,,2026-02-24,9786260264864,10012150962683077495009
"戀愛吧, 假面天使! 5 (首刷限定版)",卯月coco,,2026-02-06,9786260263058,10012150962683070412003
摘柿記,林琪香,,2025-06-04,9786263148215,10012043902682910506001
與成功有約: 高效能人士的七個習慣 (30週年全新增訂版),史蒂芬．柯維/ 西恩．柯維,,2020-10-30,9789865535667,1001122732681932627008
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",PG財經筆記,,2019-12-31,9789579654609,1001191562813505
葬送的芙莉蓮 1,山田鐘人/ 原作; 阿部司,,2021-05-20,9789572666029,1001129222682007204001
進烤箱的好日子 (破萬限量紀念少女阿丹版),李佳穎,,2025-07-01,9670528081105,10012030392682925920007
解答之書: 專屬於你的人生答案,卡羅．波特,,2018-11-30,9789576580833,1001119732726161
一個普通人如何守住財富與人生: 畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,畢德歐夫,,2026-03-01,9789861345666,10012036172683095832008
親愛的馬克瑪麗 3 Re: 原生家庭,歐馬克,,2026-01-30,9786263588035,10012014082683075101001
